Component name,,Quantity,price for one item(dollars),Package/Amazon links
Mechanical switches,,42,4.23,https://www.amazon.in/Indusoire-Switches-Keyboards-Mechanical-Compatible/dp/B0GHXVBNK3/ref=sr_1_1?crid=25KKHDMJB4HFS&dib=eyJ2IjoiMSJ9.A7F24ZUUwsUk5yFiu54yyZlxrbHxxt6unP_P8wwZz9U-OeWvn-2-2nv4XOxS5FKw-2ruPrCQWA1E3R-0P2k1H5PwSXeLxLgw0bQT-UbPtKSWLH1NuO8O5BPGK9qTrnU9LipyFYvW9ocmu6O4bGQ7O7DPwSaWTMslVAmlweY6h6CZsx-QqBnhkpl5A5iOmebHY2vTRi19U5ZciO71PWzpYyYC7rQhGN_7GGA97JEnwT0.wKRjVYwsltz2djUy0Utg6XouKFn2Ugbyny1b6Tt10wI&dib_tag=se&keywords=mechanical+switches+keyboard+mx&qid=1777116145&sprefix=mechanical+switchkeyboard+mx%2Caps%2C428&sr=8-1
keycaps,,42,6.01,https://www.amazon.in/CALANDISTM-Transparent-Switches-Keyboards-Pointers/dp/B0F13YK4D6/ref=sr_1_1?crid=1ZPRDSMFNCIA9&dib=eyJ2IjoiMSJ9.yCriZQBwjp-Fo4oW8c_uzN8ckaLjE_x_n59BIa01ihONei9d4t0kS7D7LdIeiM6tVDO96Wny2oh2C7-oRAJKkqLVIuZEIAeuTlQa36z258DqBgPJ2PG0K92sNsdjM22A5Hno1IhLKRGuMe7FIqbudLC6oDqzjP-smaif5kXJUH8likZmAsSANuZSpE261kwwr5ETkhoQ8Ek-o0jM2JjNdAP5T_ink1PgD09joknbrxA.fsejTQvCYC8SYUjb5pQvjhaWOPnAVGmc1iYKtzEuY20&dib_tag=se&keywords=keycaps+for+mechanical+keyboard+mx&qid=1777116099&sprefix=keycaps+for+mechanical+keyboard+mx%2Caps%2C530&sr=8-1
diodes(1N4148),,42,3.02,"1N4148 Fast Switching Diodes, 100V 300mA, Pack of 100, DO-35 Glass Zener Diodes for Electronic Projects"
ESP32-WROOM,,2,5.61,https://www.amazon.in/gp/product/B0DP6LYJFJ/ref=ewc_pr_img_1?smid=AJ6SIZC8YQDZX&psc=1
Resistors(10k),,10,1.37,https://www.amazon.in/dp/B0DQFKBHBB?psc=1&ref_=cm_sw_r_cp_ud_ct_787F1PF9FH8V1GYF8586
Capacitors(0.1uf-1000uf),,Varies,9.54,https://www.amazon.in/dp/B0GM67SFMG?psc=1&ref_=cm_sw_r_cp_ud_ct_787F1PF9FH8V1GYF8586_1
USB-C connector,,2,1.05,https://www.amazon.in/Electronic-Spices-Transfer-Charging-Connector/dp/B0C8679C2L/ref=sr_1_2_mod_primary_new?crid=PM1MJQRQEB5V&dib=eyJ2IjoiMSJ9.GE6gHLyT0vVOb8FgvnHGT3C_U8d0LXh-reR8PAND-_Aby6t8u4wmY6mA09PKKk-Qcen3E_GrN-LJwdrD7PE4hALdbOazQ7zEwji1Mg_YjGUEYWiR73Jb38wvN60s-U9ypHrfP0LMzUCucJZ2CI_FHZouCko3HFBb4DqjCphwF5rSpliN_rcTOR4W6GkFOWXo1KeLhK3XYe50Jp6iJ-qJwTDu2pXxvLxLNZ_nNfjX5Fs1Jlebv8huXXqEtuXw8ISbOLnukAFZ1CcAbuB5YDwPSkYoKjwOA2heAATl7maU7Us.DXrpxbtOcOmeRt7Hx1jCznhWGWsxyQNVGQCOOkpFHuM&dib_tag=se&keywords=usb+receptacle+smd&qid=1777116983&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=usb+rectacle+%2Caps%2C406&sr=8-2
PCB(split halves),,2,46.68,JLCPCB
Bolts/nuts,(M3),varies,2.59,https://www.amazon.in/Rpi-shop-Phillip-Phillips-Quantity/dp/B08FG6ZP4B/ref=sr_1_3_sspa?crid=110221Q543HU1&dib=eyJ2IjoiMSJ9.VwBuF4wmo5btUOB_4stPOGBAxYRDHZo2juO9kC3eQhlvby-k28KgMJaS8zSzwQto0oCLNV8JU37MsU19ZTIpfaefF1D-MBM_ate3-gU2tNq-zd0Oib96-aKmeowJsU3Bh6k6IubKIO8u5bVvyec_ISrTre2wLbCL5nyR0NBITpAbZ5uJsR0x-C2oPcrpy2fQlBLokCi5mKh6Kl8_VrmwOIriLnLqFCWiUdfkgxjp1mg3Ia14NVvWAxakfJ2_bCkqs2oTDcEV3DnTOUMoGBkqAyV6ACvoC-ydl2PX7aqVJT4.ol1oZc04OwOA5uDCr5rvRzCyGtWJ7lkOJQ64vxobDaY&dib_tag=se&keywords=m3%2B10mm&qid=1777117303&sprefix=m3%2B10%2Caps%2C396&sr=8-3-spons&aref=VXr4Z3c1Ti&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
"TFT ST7735 (1.8"")",,2,12.46,https://www.amazon.in/REES52-1-8-inch-Display-Module/dp/B07JL124HP/ref=sr_1_1?crid=Y8MTQKD0HLK5&dib=eyJ2IjoiMSJ9.8XljGOz5Uv90eWcqqlXafG2byOfMScbV3YebOJASuRJa6OhneNuowH86WF1ojsa9D5OJF0QpiAh1VBctin2GR4tYZAYzWdwEk3Pv1adupQAfzD7rSFDUOZR1g91nLkeTtncnyEJdZseIWN8SL2MP4WP1sjaG_SwejI44Bj4pHZ4kiENQHAYGjmz0RTR2_8xje0zrVNM2g7Q-u-1C9mRnI6QbvGl5pJ9qHQRd4RQQqpuzIrBbVOwW3O06jE3j5TMUA6byCVJ-MOpWiAlzsmbDJm0O07brjLAtis-ajePGfRg.ryYkxQETr0jQHOzVts00_mq83zd40J2yCJGigET10mY&dib_tag=se&keywords=1.8inch+screen+tft&qid=1777116716&sprefix=1.8inch+screen+t%2Caps%2C390&sr=8-1
